text,label
Between Genesis Holdings and Quantum Labs: Section 2.2. The limitations of liability set forth herein shall apply to the maximum extent permitted by applicable law.,Limitation of Liability
"Between Stellar Creative and Vanguard Gaming: Under Section 10.7, it is agreed that: Subject to the terms of this Agreement, Provider grants Customer a limited, non-exclusive, non-transferable, revocable license to use the Deliverables.",Intellectual Property
"Section 7.6. Neither party may assign, delegate, or transfer its rights or obligations under this Agreement without the prior written consent of the other party.",Assignment
"In accordance with Section 19.8, In the event of a permitted assignment, the assigning party shall remain liable for all obligations arising prior to the effective date of the assignment.",Assignment
"Under Section 5.3, it is agreed that: This limitation of liability shall apply regardless of the form of action, whether in contract, tort, strict liability, or otherwise, even if advised of the possibility of such damages.",Limitation of Liability
Between CloudScale Consulting and SilverLine Transit: Section 20.3. No settlement of an indemnified claim that imposes any liability or obligation on the indemnified party shall be entered into without its prior written consent.,Indemnification
The assigning party must provide written notice of any assignment to the other party within 45 days of the consummation of the transaction.,Assignment
"Between TalentAcquire and Beta Corp: Clause 23.3: Except as explicitly set forth herein, neither party grants the other party any license, express or implied, to its intellectual property or proprietary technology.",Intellectual Property
"Under Section 24.5, it is agreed that: The arbitrator's award shall be final and binding, and judgment upon the award may be entered in any court having jurisdiction thereof.",Dispute Resolution
Between Aurora Pharma and Summit Ventures: The subscription fees for renewal terms shall be subject to an annual increase not to exceed 45% over the preceding term's fees.,Payment Terms
Section 25.7. The affected party shall promptly notify the other party of the occurrence of the Force Majeure event and use reasonable efforts to mitigate its effects.,Force Majeure
"Clause 4.1: The provisions of Sections 5, 8, and 12 shall survive any termination or expiration of this Agreement.",Termination
"Between Quantum Labs and Obsidian BioTech: Under Section 21.8, it is agreed that: This Agreement shall automatically renew for successive 90-month periods unless either party gives notice of non-renewal at least 90 days prior to the end of the term.",Termination
"In accordance with Section 14.4, Subject to the terms of this Agreement, Provider grants Customer a limited, non-exclusive, non-transferable, revocable license to use the Deliverables.",Intellectual Property
Section 14.5. The parties agree that the limitations and exclusions of liability specified in this Section represent a reasonable allocation of risk.,Limitation of Liability
"Between Delta Systems and Vanguard Gaming: Under Section 3.1, it is agreed that: The arbitration shall be conducted by a single arbitrator in accordance with the commercial rules of the American Arbitration Association (AAA).",Dispute Resolution
"In accordance with Section 16.9, If either party fails to perform its obligations hereunder, the non-breaching party may suspend performance or terminate the contract with 3 days' notice.",Termination
"Each Partner shall indemnify the Partnership for any losses resulting from their fraud, gross negligence, or willful misconduct.",Indemnification
Section 8.7. Each party waives any objection it may now or hereafter have to the venue of any action brought in the courts of Oregon based on forum non conveniens.,Governing Law
"Between Stellar Creative and TalentAcquire: Clause 17.9: Upon expiration or termination, Client shall immediately pay all outstanding unpaid fees and expenses due to the Service Provider.",Termination
"Between CloudScale Consulting and MetroGreen Mobility: Section 7.9. This Force Majeure section shall not apply to, and shall not excuse, any payment obligations of either party under this Agreement.",Force Majeure
Between Vertex E-Commerce and HeavyGear Machinery: Section 21.9. Either party may terminate this Agreement with immediate effect if the other party becomes insolvent or files a petition for bankruptcy.,Termination
"Between TalentAcquire and Omega LLC: In accordance with Section 18.8, If a Force Majeure event prevents a party's performance for more than 90 days, the other party may terminate this Agreement upon written notice.",Force Majeure
Between Alpha Solutions and Stellar Creative: A transfer of a controlling interest in a party (excluding public stock trades) shall be deemed an assignment requiring prior written consent.,Assignment
Each party agrees that any dispute resolution proceedings will be conducted only on an individual basis and not in a class or representative action.,Dispute Resolution
"Between Alpha Solutions and FreshFoods: Clause 15.6: Customer shall not remove, alter, or obscure any copyright, trademark, or other proprietary rights notices contained on or in the Software.",Intellectual Property
"Between Beta Corp and Summit Ventures: Under Section 4.8, it is agreed that: Confidential Information includes, without limitation, technical documentation, software code, business strategies, pricing structures, and customer records.",Confidentiality
Between TalentAcquire and Nova Tech: Section 15.8. This Agreement shall be binding upon and inure to the benefit of the parties and their respective permitted successors and assigns.,Assignment
"In accordance with Section 19.9, The parties consent to personal jurisdiction in the state and federal courts located in Boston, California for the enforcement of any arbitration award.",Dispute Resolution
"Between Beta Corp and Aegis Cyber: Clause 14.6: Each party agrees not to register or attempt to register any trademarks, trade names, or service marks that are confusingly similar to those of the other party.",Intellectual Property
Between Delta Systems and Global Freight: Clause 19.4: The maximum aggregate liability of either party under this Agreement shall not exceed the total fees paid by Customer to Provider in the 90-month period preceding the claim.,Limitation of Liability
"Between SilverLine Transit and Quantum Labs: Clause 7.4: Upon expiration or termination, Client shall immediately pay all outstanding unpaid fees and expenses due to the Service Provider.",Termination
Section 24.2. Customer shall pay all undisputed invoices within 15 days of the date of invoice receipt.,Payment Terms
Between HeavyGear Machinery and Stellar Creative: Each party waives any objection it may now or hereafter have to the venue of any action brought in the courts of Ohio based on forum non conveniens.,Governing Law
Section 3.3. This Agreement may be terminated by mutual written agreement of both parties at any time.,Termination
"In accordance with Section 18.9, As between the parties, Provider retains all right, title, and interest in and to the Software and Services, including all intellectual property rights therein.",Intellectual Property
"Clause 18.3: Confidential Information includes, without limitation, technical documentation, software code, business strategies, pricing structures, and customer records.",Confidentiality
"Between HRFlow AI and Delta Systems: Under Section 10.1, it is agreed that: Upon termination of this Agreement, the Receiving Party shall return or destroy all copies of the Disclosing Party's Confidential Information within 5 business days.",Confidentiality
"Clause 21.9: Any dispute, controversy, or claim arising out of or relating to this Agreement shall be resolved through binding arbitration in Seattle, Massachusetts.",Dispute Resolution
"Between Alpha Solutions and Quantum Labs: Customer shall not remove, alter, or obscure any copyright, trademark, or other proprietary rights notices contained on or in the Software.",Intellectual Property
"Under Section 6.5, it is agreed that: Each party agrees that any dispute resolution proceedings will be conducted only on an individual basis and not in a class or representative action.",Dispute Resolution
The affected party shall promptly notify the other party of the occurrence of the Force Majeure event and use reasonable efforts to mitigate its effects.,Force Majeure
Between Zephyr Robotics and Alpha Solutions: Section 5.1. The indemnified party shall have the right to participate in the defense of any claim with counsel of its own choosing at its own expense.,Indemnification
"Between Beta Corp and Vertex E-Commerce: Under Section 18.4, it is agreed that: No license or right under any patent, copyright, or trade secret is granted or implied by the disclosure of Confidential Information under this Agreement.",Confidentiality
"Under Section 21.9, it is agreed that: If Customer fails to pay any undisputed invoice when due, Provider may, upon 45 days' written notice, suspend access to the SaaS Services.",Payment Terms
"In accordance with Section 7.2, Provider shall indemnify, defend, and hold harmless Customer against any third-party claims alleging that the Software infringes any patent, copyright, or trademark.",Indemnification
"Under Section 21.4, it is agreed that: All deliverables, software, designs, and reports developed under this Statement of Work shall be considered works made for hire and shall be the exclusive property of Client.",Intellectual Property
Between HeavyGear Machinery and Aegis Cyber: Section 8.8. The subscription fees for renewal terms shall be subject to an annual increase not to exceed 15% over the preceding term's fees.,Payment Terms
Section 12.2. The United Nations Convention on Contracts for the International Sale of Goods does not apply to this Agreement.,Governing Law
"Section 14.1. Late payments shall bear interest at the rate of 60% per month or the maximum rate permitted by law, whichever is lower.",Payment Terms
"Between Vanguard Gaming and Global Freight: Under Section 8.4, it is agreed that: Vendor shall defend and indemnify Buyer against any claims for personal injury or property damage caused by defective Products supplied hereunder.",Indemnification
Section 8.1. The parties acknowledge that unauthorized disclosure of Confidential Information will cause irreparable harm for which monetary damages alone would be inadequate.,Confidentiality
"Customer is responsible for all sales, use, excise, and value-added taxes arising from the transactions contemplated under this Agreement.",Payment Terms
"In accordance with Section 3.6, The parties irrevocably submit to the exclusive jurisdiction and venue of the courts located in Cook County, State of Ohio.",Governing Law
"Under Section 24.3, it is agreed that: Any disclosure of Confidential Information required by a court of competent jurisdiction shall not be deemed a breach, provided that prompt notice is given to the Disclosing Party.",Confidentiality
"Any feedback, suggestions, or ideas provided by Customer regarding the Service may be used and incorporated by Provider without restriction or compensation.",Intellectual Property
"Between MetroGreen Mobility and TalentAcquire: In accordance with Section 7.5, In no event shall either party be liable to the other for any indirect, special, incidental, punitive, or consequential damages arising out of or in connection with this Agreement.",Limitation of Liability
"In accordance with Section 21.2, Any disclosure of Confidential Information required by a court of competent jurisdiction shall not be deemed a breach, provided that prompt notice is given to the Disclosing Party.",Confidentiality
"Between Apex FinTech and Zephyr Robotics: In accordance with Section 8.5, Any legal action, suit, or proceeding arising out of or relating to this Agreement must be instituted in the state or federal courts of Florida.",Governing Law
"In accordance with Section 17.4, This contract shall be interpreted, construed, and enforced in all respects in accordance with the domestic laws of the State of Washington.",Governing Law
"In accordance with Section 2.4, Each Partner shall indemnify the Partnership for any losses resulting from their fraud, gross negligence, or willful misconduct.",Indemnification
"In accordance with Section 1.9, If Customer fails to pay any undisputed invoice when due, Provider may, upon 30 days' written notice, suspend access to the SaaS Services.",Payment Terms
"If either party fails to perform its obligations hereunder, the non-breaching party may suspend performance or terminate the contract with 60 days' notice.",Termination
A transfer of a controlling interest in a party (excluding public stock trades) shall be deemed an assignment requiring prior written consent.,Assignment
"Section 3.5. Each party shall indemnify, defend, and hold harmless the other party from and against any and all claims, liabilities, losses, and damages arising out of its material breach of this Agreement.",Indemnification
"Between Omega LLC and Zephyr Robotics: In accordance with Section 7.1, The obligations of confidentiality hereunder shall survive for a period of 10 years following the termination or expiration of this Agreement.",Confidentiality
"Section 5.6. Upon expiration or termination, Client shall immediately pay all outstanding unpaid fees and expenses due to the Service Provider.",Termination
The obligations of confidentiality hereunder shall survive for a period of 120 years following the termination or expiration of this Agreement.,Confidentiality
Between Alpha Solutions and Delta Systems: Section 20.4. The Receiving Party shall restrict access to Confidential Information to employees and contractors who have a need to know and are bound by written confidentiality obligations.,Confidentiality
"In accordance with Section 8.3, This limitation of liability shall apply regardless of the form of action, whether in contract, tort, strict liability, or otherwise, even if advised of the possibility of such damages.",Limitation of Liability
Section 10.4. The affected party shall promptly notify the other party of the occurrence of the Force Majeure event and use reasonable efforts to mitigate its effects.,Force Majeure
"Between HeavyGear Machinery and Beta Corp: Under Section 12.1, it is agreed that: Client shall notify Service Provider in writing of any disputed invoice amounts within 60 days of invoice receipt, detailing the basis for the dispute.",Payment Terms
"In accordance with Section 5.2, Force Majeure events include, without limitation, earthquakes, floods, fires, strikes, government mandates, utility failures, and internet outages.",Force Majeure
"Each party shall indemnify, defend, and hold harmless the other party from and against any and all claims, liabilities, losses, and damages arising out of its material breach of this Agreement.",Indemnification
Clause 25.6: The indemnified party shall have the right to participate in the defense of any claim with counsel of its own choosing at its own expense.,Indemnification
Section 4.3. Failure of sub-contractors or suppliers shall not be deemed a Force Majeure unless caused by a Force Majeure event affecting the sub-contractor directly.,Force Majeure
"In the event of a Force Majeure, the parties shall cooperate in good faith to identify alternative means of performing their obligations.",Force Majeure
Section 5.1. The limitations of liability set forth herein shall apply to the maximum extent permitted by applicable law.,Limitation of Liability
Clause 15.7: All matters arising out of or relating to this Agreement shall be governed by the laws of the State of Texas.,Governing Law
Between Obsidian BioTech and Titanium Partners: The parties agree that the limitations and exclusions of liability specified in this Section represent a reasonable allocation of risk.,Limitation of Liability
Between EcoPack Supplies and HeavyGear Machinery: Clause 14.6: All out-of-pocket travel and lodging expenses incurred by Service Provider must be pre-approved in writing by Client to be eligible for reimbursement.,Payment Terms
"Between EcoPack Supplies and Genesis Holdings: Section 23.5. All fees and payments under this Agreement shall be made in US Dollars via wire transfer, ACH, or credit card.",Payment Terms
Between Omega LLC and Delta Systems: The party claiming Force Majeure must prove that it took all reasonable steps to prevent and minimize the delay or failure in performance.,Force Majeure
Clause 18.7: The assigning party must provide written notice of any assignment to the other party within 90 days of the consummation of the transaction.,Assignment
"In accordance with Section 13.4, The assigning party must provide written notice of any assignment to the other party within 3 days of the consummation of the transaction.",Assignment
"Between HeavyGear Machinery and Titanium Partners: Clause 15.3: This Agreement shall be governed by and construed in accordance with the laws of the State of Washington, without giving effect to any principles of conflict of laws.",Governing Law
"Between Quantum Labs and EcoPack Supplies: IN NO EVENT SHALL PROVIDER'S TOTAL LIABILITY FOR ALL CLAIMS OF ANY KIND EXCEED THE SUM OF $500,000.",Limitation of Liability
Between Nova Tech and Alpha Solutions: Section 7.2. The United Nations Convention on Contracts for the International Sale of Goods does not apply to this Agreement.,Governing Law
"Section 9.6. Confidential Information includes, without limitation, technical documentation, software code, business strategies, pricing structures, and customer records.",Confidentiality
"In accordance with Section 4.5, The provisions of Sections 2, 3, 4, 6, and 10 shall survive any termination or expiration of this Agreement.",Termination
"Section 13.6. In the event of a Force Majeure, the parties shall cooperate in good faith to identify alternative means of performing their obligations.",Force Majeure
"Section 10.6. Each party shall indemnify, defend, and hold harmless the other party from and against any and all claims, liabilities, losses, and damages arising out of its material breach of this Agreement.",Indemnification
"In accordance with Section 19.4, Any feedback, suggestions, or ideas provided by Customer regarding the Service may be used and incorporated by Provider without restriction or compensation.",Intellectual Property
"Between HeavyGear Machinery and Crimson Media: Section 3.4. Customer shall not remove, alter, or obscure any copyright, trademark, or other proprietary rights notices contained on or in the Software.",Intellectual Property
"Section 18.4. Each party agrees to protect the other's Proprietary Data with at least the same degree of care it uses for its own data of similar importance, but no less than reasonable care.",Confidentiality
"Between HRFlow AI and Beta Corp: This limitation of liability shall apply regardless of the form of action, whether in contract, tort, strict liability, or otherwise, even if advised of the possibility of such damages.",Limitation of Liability
"Between Summit Ventures and EcoPack Supplies: Under Section 13.3, it is agreed that: If a Force Majeure event prevents a party's performance for more than 60 days, the other party may terminate this Agreement upon written notice.",Force Majeure
"In accordance with Section 7.7, All matters arising out of or relating to this Agreement shall be governed by the laws of the State of Texas.",Governing Law
"In accordance with Section 6.3, This Agreement shall be binding upon and inure to the benefit of the parties and their respective permitted successors and assigns.",Assignment
"In accordance with Section 17.2, Any mediation or arbitration proceedings shall be conducted in the English language.",Dispute Resolution
"In accordance with Section 5.9, In the event of a permitted assignment, the assigning party shall remain liable for all obligations arising prior to the effective date of the assignment.",Assignment
"Under Section 19.4, it is agreed that: Except as explicitly set forth herein, neither party grants the other party any license, express or implied, to its intellectual property or proprietary technology.",Intellectual Property
Section 24.6. The party claiming Force Majeure must prove that it took all reasonable steps to prevent and minimize the delay or failure in performance.,Force Majeure
"Between Vanguard Gaming and EcoPack Supplies: Any dispute, controversy, or claim arising out of or relating to this Agreement shall be resolved through binding arbitration in New York City, Ohio.",Dispute Resolution
"Between Vector Industries and Quantum Labs: All fees and payments under this Agreement shall be made in US Dollars via wire transfer, ACH, or credit card.",Payment Terms
"In accordance with Section 3.6, Failure of sub-contractors or suppliers shall not be deemed a Force Majeure unless caused by a Force Majeure event affecting the sub-contractor directly.",Force Majeure
"Under Section 24.2, it is agreed that: This Agreement may be terminated by mutual written agreement of both parties at any time.",Termination
Between Beta Corp and Vanguard Gaming: Section 18.1. The indemnified party shall have the right to participate in the defense of any claim with counsel of its own choosing at its own expense.,Indemnification
Between Quantum Labs and HeavyGear Machinery: Clause 15.2: The subscription fees for renewal terms shall be subject to an annual increase not to exceed 10% over the preceding term's fees.,Payment Terms
Between TalentAcquire and Vanguard Gaming: Clause 22.5: The maximum aggregate liability of either party under this Agreement shall not exceed the total fees paid by Customer to Provider in the 5-month period preceding the claim.,Limitation of Liability
"In accordance with Section 14.2, If the Force Majeure event continues for a period exceeding 45 consecutive days, either party may terminate the affected Statement of Work without penalty.",Force Majeure
Between Stellar Creative and Aurora Pharma: Clause 25.8: Customer agrees to indemnify and hold harmless Provider from any claims arising out of Customer's unauthorized use of the Service or violation of applicable laws.,Indemnification
Between Vertex E-Commerce and Beta Corp: The subscription fees for renewal terms shall be subject to an annual increase not to exceed 3% over the preceding term's fees.,Payment Terms
"Under Section 21.1, it is agreed that: The parties agree to keep the existence, content, and results of any arbitration proceeding strictly confidential.",Dispute Resolution
Section 6.9. The parties agree that the limitations and exclusions of liability specified in this Section represent a reasonable allocation of risk.,Limitation of Liability
"Between Quantum Labs and Beta Corp: Under Section 20.7, it is agreed that: The parties agree to keep the existence, content, and results of any arbitration proceeding strictly confidential.",Dispute Resolution
Section 15.6. The obligations of confidentiality hereunder shall survive for a period of 10 years following the termination or expiration of this Agreement.,Confidentiality
Between HRFlow AI and Infinity Group: Section 3.5. All out-of-pocket travel and lodging expenses incurred by Service Provider must be pre-approved in writing by Client to be eligible for reimbursement.,Payment Terms
"Section 14.4. Confidential Information includes, without limitation, technical documentation, software code, business strategies, pricing structures, and customer records.",Confidentiality
"Between EcoPack Supplies and Genesis Holdings: Client shall notify Service Provider in writing of any disputed invoice amounts within 120 days of invoice receipt, detailing the basis for the dispute.",Payment Terms
"Between Alpha Solutions and Stellar Creative: Any attempted assignment, delegation, or transfer in violation of this Section shall be null and void ab initio.",Assignment
"Between Apex FinTech and HRFlow AI: In the event of a permitted assignment, the assigning party shall remain liable for all obligations arising prior to the effective date of the assignment.",Assignment
Section 16.1. The parties agree that the limitations and exclusions of liability specified in this Section represent a reasonable allocation of risk.,Limitation of Liability
"Clause 3.6: If a Force Majeure event prevents a party's performance for more than 7 days, the other party may terminate this Agreement upon written notice.",Force Majeure
"Between Aurora Pharma and Obsidian BioTech: Under Section 13.3, it is agreed that: This Force Majeure section shall not apply to, and shall not excuse, any payment obligations of either party under this Agreement.",Force Majeure
"Between Omega LLC and Delta Systems: Under Section 21.6, it is agreed that: Each party agrees that any dispute resolution proceedings will be conducted only on an individual basis and not in a class or representative action.",Dispute Resolution
"Under Section 22.5, it is agreed that: Consent to an assignment in one instance shall not constitute consent to any subsequent assignment or transfer.",Assignment
"This Agreement shall be governed by and construed in accordance with the laws of the State of Massachusetts, without giving effect to any principles of conflict of laws.",Governing Law
Section 17.9. Either party may terminate this Agreement with immediate effect if the other party becomes insolvent or files a petition for bankruptcy.,Termination
"Under Section 7.5, it is agreed that: This limitation of liability shall apply regardless of the form of action, whether in contract, tort, strict liability, or otherwise, even if advised of the possibility of such damages.",Limitation of Liability
"In accordance with Section 25.8, If Customer fails to pay any undisputed invoice when due, Provider may, upon 120 days' written notice, suspend access to the SaaS Services.",Payment Terms
"Under Section 24.4, it is agreed that: The obligations of the party affected by a Force Majeure event shall be suspended only for the duration of the Force Majeure event.",Force Majeure
Between HRFlow AI and Genesis Holdings: This Agreement shall automatically renew for successive 60-month periods unless either party gives notice of non-renewal at least 60 days prior to the end of the term.,Termination
"Confidential Information includes, without limitation, technical documentation, software code, business strategies, pricing structures, and customer records.",Confidentiality
Termination of this Agreement shall not affect any accrued rights to payment or other liabilities incurred prior to the date of termination.,Termination
"In accordance with Section 10.9, All fees and payments under this Agreement shall be made in US Dollars via wire transfer, ACH, or credit card.",Payment Terms
Between Vector Industries and Stellar Creative: Clause 7.8: The prevailing party in any legal action or arbitration arising hereunder shall be entitled to recover its reasonable attorney's fees and litigation costs.,Dispute Resolution
"Clause 17.8: In the event of a Force Majeure, the parties shall cooperate in good faith to identify alternative means of performing their obligations.",Force Majeure
"Section 21.8. Each party shall indemnify, defend, and hold harmless the other party from and against any and all claims, liabilities, losses, and damages arising out of its material breach of this Agreement.",Indemnification
"In accordance with Section 9.1, Each Partner shall indemnify the Partnership for any losses resulting from their fraud, gross negligence, or willful misconduct.",Indemnification
"Clause 14.8: Any attempted assignment, delegation, or transfer in violation of this Section shall be null and void ab initio.",Assignment
"In accordance with Section 10.4, Subject to the terms of this Agreement, Provider grants Customer a limited, non-exclusive, non-transferable, revocable license to use the Deliverables.",Intellectual Property
Between Aegis Cyber and Titanium Partners: Each party agrees that any dispute resolution proceedings will be conducted only on an individual basis and not in a class or representative action.,Dispute Resolution
"In accordance with Section 15.4, The assigning party must provide written notice of any assignment to the other party within 10 days of the consummation of the transaction.",Assignment
"Under Section 19.7, it is agreed that: Confidential Information shall not include information that is or becomes publicly available through no breach of this Agreement by the Receiving Party.",Confidentiality
"In no event shall either party be liable to the other for any indirect, special, incidental, punitive, or consequential damages arising out of or in connection with this Agreement.",Limitation of Liability
Between Crimson Media and Nova Tech: Section 22.3. Failure of sub-contractors or suppliers shall not be deemed a Force Majeure unless caused by a Force Majeure event affecting the sub-contractor directly.,Force Majeure
"Between HeavyGear Machinery and TalentAcquire: In accordance with Section 25.9, The indemnification obligations set forth in this Section shall survive the termination or expiration of this Agreement.",Indemnification
Between Crimson Media and Titanium Partners: Section 1.6. The obligations of confidentiality hereunder shall survive for a period of 7 years following the termination or expiration of this Agreement.,Confidentiality
"Between Obsidian BioTech and Quantum Labs: Clause 17.3: Nothing in this Agreement shall limit or exclude either party's liability for death, personal injury, or fraud caused by its negligence.",Limitation of Liability
"Under Section 7.6, it is agreed that: All deliverables, software, designs, and reports developed under this Statement of Work shall be considered works made for hire and shall be the exclusive property of Client.",Intellectual Property
"Between Nova Tech and Quantum Labs: Clause 11.9: Customer acknowledges that the fees charged reflect this allocation of risk, and that Provider would not enter into this Agreement without these limitations.",Limitation of Liability
The Receiving Party shall maintain all Confidential Information in strict confidence and shall not disclose it to any third party without Disclosing Party's prior written consent.,Confidentiality
Section 1.4. The parties agree that any disputes arising out of this contract shall be governed by and interpreted under New York law.,Governing Law
"In accordance with Section 15.4, Customer shall not remove, alter, or obscure any copyright, trademark, or other proprietary rights notices contained on or in the Software.",Intellectual Property
"Clause 1.9: All deliverables, software, designs, and reports developed under this Statement of Work shall be considered works made for hire and shall be the exclusive property of Client.",Intellectual Property
"Under Section 10.6, it is agreed that: The parties agree that any disputes arising out of this contract shall be governed by and interpreted under New York law.",Governing Law
"In accordance with Section 7.8, Either party may terminate this Agreement with immediate effect if the other party becomes insolvent or files a petition for bankruptcy.",Termination
"Before initiating any legal action or arbitration, the parties shall attempt to resolve any dispute through good-faith mediation.",Dispute Resolution
"Under Section 17.5, it is agreed that: The maximum aggregate liability of either party under this Agreement shall not exceed the total fees paid by Customer to Provider in the 90-month period preceding the claim.",Limitation of Liability
"Section 11.5. Client shall notify Service Provider in writing of any disputed invoice amounts within 5 days of invoice receipt, detailing the basis for the dispute.",Payment Terms
Section 17.4. The validity and construction of this Agreement shall be determined under the laws of the State of Massachusetts.,Governing Law
"The indemnifying party shall have sole control over the defense and settlement of any third-party claim, subject to the indemnified party's consent rights.",Indemnification
"In accordance with Section 23.8, Either party may terminate this Agreement with immediate effect if the other party becomes insolvent or files a petition for bankruptcy.",Termination
"In accordance with Section 13.6, If Customer fails to pay any undisputed invoice when due, Provider may, upon 45 days' written notice, suspend access to the SaaS Services.",Payment Terms
"In accordance with Section 17.3, The prevailing party in any legal action or arbitration arising hereunder shall be entitled to recover its reasonable attorney's fees and litigation costs.",Dispute Resolution
