text,label
Between Beta Corp and Stellar Creative: Either party may terminate this Agreement at any time for convenience upon 10 days' prior written notice to the other party.,Termination
"In accordance with Section 16.8, Customer acknowledges that the fees charged reflect this allocation of risk, and that Provider would not enter into this Agreement without these limitations.",Limitation of Liability
"Clause 1.8: In the event of a permitted assignment, the assigning party shall remain liable for all obligations arising prior to the effective date of the assignment.",Assignment
Between HRFlow AI and Infinity Group: Section 16.4. Either party may terminate this Agreement at any time for convenience upon 7 days' prior written notice to the other party.,Termination
"Between Nova Tech and HeavyGear Machinery: Clause 17.3: The provisions of Sections 5, 8, and 12 shall survive any termination or expiration of this Agreement.",Termination
Section 12.1. Failure of sub-contractors or suppliers shall not be deemed a Force Majeure unless caused by a Force Majeure event affecting the sub-contractor directly.,Force Majeure
"Between Omega LLC and HRFlow AI: Confidential Information includes, without limitation, technical documentation, software code, business strategies, pricing structures, and customer records.",Confidentiality
"Each party agrees not to register or attempt to register any trademarks, trade names, or service marks that are confusingly similar to those of the other party.",Intellectual Property
Section 19.6. The parties agree that any disputes arising out of this contract shall be governed by and interpreted under Texas law.,Governing Law
"Clause 10.1: Each party agrees to protect the other's Proprietary Data with at least the same degree of care it uses for its own data of similar importance, but no less than reasonable care.",Confidentiality
"In accordance with Section 10.3, Nothing in this Agreement shall limit or exclude either party's liability for death, personal injury, or fraud caused by its negligence.",Limitation of Liability
"In accordance with Section 2.5, Notwithstanding the foregoing, either party may assign this Agreement in its entirety to an affiliate or in connection with a merger or sale of assets.",Assignment
"Between Beta Corp and Vanguard Gaming: In accordance with Section 11.2, Force Majeure events include, without limitation, earthquakes, floods, fires, strikes, government mandates, utility failures, and internet outages.",Force Majeure
"In accordance with Section 24.8, Customer is responsible for all sales, use, excise, and value-added taxes arising from the transactions contemplated under this Agreement.",Payment Terms
Clause 9.9: No assignment shall relieve the assigning party of its obligations hereunder unless explicitly agreed in writing by the other party.,Assignment
Between Vertex E-Commerce and Nova Tech: Clause 21.1: The indemnifying party's obligations are conditioned upon the indemnified party giving prompt written notice of the claim and cooperation in the defense thereof.,Indemnification
"In accordance with Section 22.4, In no event shall either party be liable to the other for any indirect, special, incidental, punitive, or consequential damages arising out of or in connection with this Agreement.",Limitation of Liability
"Between LogiChain Software and Delta Systems: Neither party shall be liable for any delay or failure in performance due to circumstances beyond its reasonable control, including acts of God, war, riot, terrorism, or embargoes.",Force Majeure
"In accordance with Section 17.6, Provider shall indemnify, defend, and hold harmless Customer against any third-party claims alleging that the Software infringes any patent, copyright, or trademark.",Indemnification
"Between TalentAcquire and Zephyr Robotics: Section 21.2. Force Majeure events include, without limitation, earthquakes, floods, fires, strikes, government mandates, utility failures, and internet outages.",Force Majeure
"Between Crimson Media and Genesis Holdings: Under Section 20.9, it is agreed that: All fees and payments under this Agreement shall be made in US Dollars via wire transfer, ACH, or credit card.",Payment Terms
"In accordance with Section 7.7, Payment obligations are non-cancelable and all fees paid under this Agreement are non-refundable except as otherwise explicitly provided.",Payment Terms
"In accordance with Section 10.4, Except as explicitly set forth herein, neither party grants the other party any license, express or implied, to its intellectual property or proprietary technology.",Intellectual Property
"Between Genesis Holdings and Aegis Cyber: Any dispute, controversy, or claim arising out of or relating to this Agreement shall be resolved through binding arbitration in New York City, Illinois.",Dispute Resolution
The exclusions of indirect damages under this Section shall not apply to breaches of confidentiality or indemnification obligations hereunder.,Limitation of Liability
"Provider shall indemnify, defend, and hold harmless Customer against any third-party claims alleging that the Software infringes any patent, copyright, or trademark.",Indemnification
"Between Nova Tech and Vanguard Gaming: In accordance with Section 16.8, This Force Majeure section shall not apply to, and shall not excuse, any payment obligations of either party under this Agreement.",Force Majeure
All matters arising out of or relating to this Agreement shall be governed by the laws of the State of Ohio.,Governing Law
"In accordance with Section 20.7, This Agreement shall be governed by and construed in accordance with the laws of the State of Oregon, without giving effect to any principles of conflict of laws.",Governing Law
This Agreement shall be binding upon and inure to the benefit of the parties and their respective permitted successors and assigns.,Assignment
"Under Section 23.3, it is agreed that: Subject to the terms of this Agreement, Provider grants Customer a limited, non-exclusive, non-transferable, revocable license to use the Deliverables.",Intellectual Property
Section 15.8. Any mediation or arbitration proceedings shall be conducted in the English language.,Dispute Resolution
"Under Section 3.3, it is agreed that: The prevailing party in any legal action or arbitration arising hereunder shall be entitled to recover its reasonable attorney's fees and litigation costs.",Dispute Resolution
Section 15.5. Any mediation or arbitration proceedings shall be conducted in the English language.,Dispute Resolution
This Agreement may be terminated by mutual written agreement of both parties at any time.,Termination
Clause 17.2: Consent to an assignment in one instance shall not constitute consent to any subsequent assignment or transfer.,Assignment
Section 17.4. The parties acknowledge that unauthorized disclosure of Confidential Information will cause irreparable harm for which monetary damages alone would be inadequate.,Confidentiality
"Customer shall not remove, alter, or obscure any copyright, trademark, or other proprietary rights notices contained on or in the Software.",Intellectual Property
"In accordance with Section 14.4, All fees and payments under this Agreement shall be made in US Dollars via wire transfer, ACH, or credit card.",Payment Terms
"Section 20.2. This limitation of liability shall apply regardless of the form of action, whether in contract, tort, strict liability, or otherwise, even if advised of the possibility of such damages.",Limitation of Liability
Clause 17.3: Each party waives any objection it may now or hereafter have to the venue of any action brought in the courts of Oregon based on forum non conveniens.,Governing Law
"Section 5.6. The parties agree to keep the existence, content, and results of any arbitration proceeding strictly confidential.",Dispute Resolution
"Under Section 23.7, it is agreed that: Each party shall indemnify, defend, and hold harmless the other party from and against any and all claims, liabilities, losses, and damages arising out of its material breach of this Agreement.",Indemnification
"Clause 7.2: Any legal action, suit, or proceeding arising out of or relating to this Agreement must be instituted in the state or federal courts of Florida.",Governing Law
"Under Section 16.3, it is agreed that: If the Force Majeure event continues for a period exceeding 120 consecutive days, either party may terminate the affected Statement of Work without penalty.",Force Majeure
"Between Zephyr Robotics and Titanium Partners: Under Section 6.5, it is agreed that: Any dispute, controversy, or claim arising out of or relating to this Agreement shall be resolved through binding arbitration in Los Angeles, Oregon.",Dispute Resolution
"Clause 1.1: This contract shall be interpreted, construed, and enforced in all respects in accordance with the domestic laws of the State of Texas.",Governing Law
"Nothing in this Agreement shall limit or exclude either party's liability for death, personal injury, or fraud caused by its negligence.",Limitation of Liability
"Between Obsidian BioTech and HeavyGear Machinery: Section 24.2. Any attempted assignment, delegation, or transfer in violation of this Section shall be null and void ab initio.",Assignment
Customer shall pay all undisputed invoices within 7 days of the date of invoice receipt.,Payment Terms
Clause 7.3: The validity and construction of this Agreement shall be determined under the laws of the State of Oregon.,Governing Law
"Between EcoPack Supplies and Infinity Group: Section 9.3. This Agreement shall be governed by and construed in accordance with the laws of the State of Delaware, without giving effect to any principles of conflict of laws.",Governing Law
Between Infinity Group and FreshFoods: The exclusions of indirect damages under this Section shall not apply to breaches of confidentiality or indemnification obligations hereunder.,Limitation of Liability
"Section 22.3. If a Force Majeure event prevents a party's performance for more than 90 days, the other party may terminate this Agreement upon written notice.",Force Majeure
"Under Section 20.6, it is agreed that: Late payments shall bear interest at the rate of 60% per month or the maximum rate permitted by law, whichever is lower.",Payment Terms
"Between Quantum Labs and Beta Corp: Upon termination of this Agreement, the Receiving Party shall return or destroy all copies of the Disclosing Party's Confidential Information within 60 business days.",Confidentiality
"Between Zephyr Robotics and Apex FinTech: Section 10.8. Late payments shall bear interest at the rate of 10% per month or the maximum rate permitted by law, whichever is lower.",Payment Terms
Clause 7.6: No assignment shall relieve the assigning party of its obligations hereunder unless explicitly agreed in writing by the other party.,Assignment
"Between Stellar Creative and Nova Tech: Under Section 19.3, it is agreed that: The United Nations Convention on Contracts for the International Sale of Goods does not apply to this Agreement.",Governing Law
"Between Summit Ventures and CloudScale Consulting: Clause 16.8: Customer shall not remove, alter, or obscure any copyright, trademark, or other proprietary rights notices contained on or in the Software.",Intellectual Property
"In accordance with Section 19.2, The indemnified party shall have the right to participate in the defense of any claim with counsel of its own choosing at its own expense.",Indemnification
"Clause 13.7: Neither party shall be liable for any delay or failure in performance due to circumstances beyond its reasonable control, including acts of God, war, riot, terrorism, or embargoes.",Force Majeure
Section 20.1. This Agreement may be terminated immediately by either party if the other party breaches any material term and fails to cure such breach within 3 days of receipt of written notice.,Termination
Between Apex FinTech and Quantum Labs: This Agreement may be terminated immediately by either party if the other party breaches any material term and fails to cure such breach within 5 days of receipt of written notice.,Termination
Clause 22.4: Vendor shall defend and indemnify Buyer against any claims for personal injury or property damage caused by defective Products supplied hereunder.,Indemnification
"Clause 9.1: Customer grants Provider a non-exclusive, worldwide, royalty-free license to use Customer Data solely as necessary to provide the Services under this Agreement.",Intellectual Property
"In accordance with Section 14.3, In no event shall either party be liable to the other for any indirect, special, incidental, punitive, or consequential damages arising out of or in connection with this Agreement.",Limitation of Liability
"Between Stellar Creative and Aurora Pharma: Section 4.3. Any legal action, suit, or proceeding arising out of or relating to this Agreement must be instituted in the state or federal courts of Delaware.",Governing Law
"Between MetroGreen Mobility and Titanium Partners: In accordance with Section 7.5, The provisions of Sections 5, 8, and 12 shall survive any termination or expiration of this Agreement.",Termination
"Between Quantum Labs and FreshFoods: In accordance with Section 22.6, The United Nations Convention on Contracts for the International Sale of Goods does not apply to this Agreement.",Governing Law
"Clause 16.4: This limitation of liability shall apply regardless of the form of action, whether in contract, tort, strict liability, or otherwise, even if advised of the possibility of such damages.",Limitation of Liability
"Between Vector Industries and Genesis Holdings: Under Section 8.6, it is agreed that: Payment obligations are non-cancelable and all fees paid under this Agreement are non-refundable except as otherwise explicitly provided.",Payment Terms
"Clause 9.9: Neither party shall be liable for any loss of profits, loss of revenue, loss of data, or cost of procurement of substitute goods or services.",Limitation of Liability
Section 19.2. Confidential Information shall not include information that is or becomes publicly available through no breach of this Agreement by the Receiving Party.,Confidentiality
"Clause 17.5: Each party retains sole ownership of all pre-existing intellectual property, materials, and tools owned or developed prior to the Effective Date.",Intellectual Property
Either party may terminate this Agreement at any time for convenience upon 5 days' prior written notice to the other party.,Termination
Section 1.3. Customer agrees to indemnify and hold harmless Provider from any claims arising out of Customer's unauthorized use of the Service or violation of applicable laws.,Indemnification
"Between Stellar Creative and Beta Corp: Clause 23.5: Upon expiration or termination, Client shall immediately pay all outstanding unpaid fees and expenses due to the Service Provider.",Termination
"Between Infinity Group and Stellar Creative: In accordance with Section 13.6, Customer grants Provider a non-exclusive, worldwide, royalty-free license to use Customer Data solely as necessary to provide the Services under this Agreement.",Intellectual Property
"Between Titanium Partners and CloudScale Consulting: The arbitrator's award shall be final and binding, and judgment upon the award may be entered in any court having jurisdiction thereof.",Dispute Resolution
Between Aegis Cyber and Beta Corp: The validity and construction of this Agreement shall be determined under the laws of the State of Delaware.,Governing Law
"If the Force Majeure event continues for a period exceeding 90 consecutive days, either party may terminate the affected Statement of Work without penalty.",Force Majeure
Between FreshFoods and CloudScale Consulting: The prevailing party in any legal action or arbitration arising hereunder shall be entitled to recover its reasonable attorney's fees and litigation costs.,Dispute Resolution
Between CloudScale Consulting and Quantum Labs: Section 19.7. Confidential Information shall not include information that is or becomes publicly available through no breach of this Agreement by the Receiving Party.,Confidentiality
"Section 6.6. Force Majeure events include, without limitation, earthquakes, floods, fires, strikes, government mandates, utility failures, and internet outages.",Force Majeure
"Between Apex FinTech and Beta Corp: Section 10.8. All fees and payments under this Agreement shall be made in US Dollars via wire transfer, ACH, or credit card.",Payment Terms
"Section 14.1. Confidential Information includes, without limitation, technical documentation, software code, business strategies, pricing structures, and customer records.",Confidentiality
Between Omega LLC and LogiChain Software: Section 20.6. This Agreement may be terminated immediately by either party if the other party breaches any material term and fails to cure such breach within 30 days of receipt of written notice.,Termination
"Between Infinity Group and Stellar Creative: If either party fails to perform its obligations hereunder, the non-breaching party may suspend performance or terminate the contract with 30 days' notice.",Termination
"In accordance with Section 20.7, Upon expiration or termination, Client shall immediately pay all outstanding unpaid fees and expenses due to the Service Provider.",Termination
"This Agreement is governed by the laws of the State of Texas, excluding its conflict of laws provisions.",Governing Law
"Clause 11.9: Subject to the terms of this Agreement, Provider grants Customer a limited, non-exclusive, non-transferable, revocable license to use the Deliverables.",Intellectual Property
"Between Titanium Partners and Genesis Holdings: Clause 13.1: Upon expiration or termination, Client shall immediately pay all outstanding unpaid fees and expenses due to the Service Provider.",Termination
"Between Global Freight and HeavyGear Machinery: Section 2.1. Each Partner shall indemnify the Partnership for any losses resulting from their fraud, gross negligence, or willful misconduct.",Indemnification
"Late payments shall bear interest at the rate of 90% per month or the maximum rate permitted by law, whichever is lower.",Payment Terms
"Between Stellar Creative and Nova Tech: Clause 8.1: Force Majeure events include, without limitation, earthquakes, floods, fires, strikes, government mandates, utility failures, and internet outages.",Force Majeure
Clause 9.6: Each party waives any objection it may now or hereafter have to the venue of any action brought in the courts of Florida based on forum non conveniens.,Governing Law
Section 11.2. The Receiving Party shall restrict access to Confidential Information to employees and contractors who have a need to know and are bound by written confidentiality obligations.,Confidentiality
"Between TalentAcquire and FreshFoods: All deliverables, software, designs, and reports developed under this Statement of Work shall be considered works made for hire and shall be the exclusive property of Client.",Intellectual Property
"In accordance with Section 8.1, The maximum aggregate liability of either party under this Agreement shall not exceed the total fees paid by Customer to Provider in the 10-month period preceding the claim.",Limitation of Liability
"Between Summit Ventures and Titanium Partners: This limitation of liability shall apply regardless of the form of action, whether in contract, tort, strict liability, or otherwise, even if advised of the possibility of such damages.",Limitation of Liability
"Between Infinity Group and SilverLine Transit: Each party agrees not to register or attempt to register any trademarks, trade names, or service marks that are confusingly similar to those of the other party.",Intellectual Property
"Between MetroGreen Mobility and HeavyGear Machinery: Section 15.2. Any attempted assignment, delegation, or transfer in violation of this Section shall be null and void ab initio.",Assignment
"Between Vertex E-Commerce and Titanium Partners: In accordance with Section 13.5, The intellectual property rights in any modifications, enhancements, or derivative works of the Software shall vest immediately and exclusively in Provider.",Intellectual Property
"Between Beta Corp and Alpha Solutions: In accordance with Section 20.3, Each party shall indemnify, defend, and hold harmless the other party from and against any and all claims, liabilities, losses, and damages arising out of its material breach of this Agreement.",Indemnification
"In accordance with Section 1.3, This Agreement shall be binding upon and inure to the benefit of the parties and their respective permitted successors and assigns.",Assignment
Between LogiChain Software and Global Freight: Section 17.8. Service Provider shall invoice Client on a monthly basis in arrears for all Services performed during the preceding calendar month.,Payment Terms
Section 6.2. Payment obligations are non-cancelable and all fees paid under this Agreement are non-refundable except as otherwise explicitly provided.,Payment Terms
"Between Crimson Media and Obsidian BioTech: In accordance with Section 25.7, Force Majeure events include, without limitation, earthquakes, floods, fires, strikes, government mandates, utility failures, and internet outages.",Force Majeure
"Clause 6.8: In no event shall either party be liable to the other for any indirect, special, incidental, punitive, or consequential damages arising out of or in connection with this Agreement.",Limitation of Liability
This Agreement shall automatically renew for successive 15-month periods unless either party gives notice of non-renewal at least 15 days prior to the end of the term.,Termination
Consent to an assignment in one instance shall not constitute consent to any subsequent assignment or transfer.,Assignment
"Between Delta Systems and Summit Ventures: Under Section 8.1, it is agreed that: Confidential Information includes, without limitation, technical documentation, software code, business strategies, pricing structures, and customer records.",Confidentiality
"Under Section 25.7, it is agreed that: No license or right under any patent, copyright, or trade secret is granted or implied by the disclosure of Confidential Information under this Agreement.",Confidentiality
"This contract shall be interpreted, construed, and enforced in all respects in accordance with the domestic laws of the State of Delaware.",Governing Law
The maximum aggregate liability of either party under this Agreement shall not exceed the total fees paid by Customer to Provider in the 60-month period preceding the claim.,Limitation of Liability
"This limitation of liability shall apply regardless of the form of action, whether in contract, tort, strict liability, or otherwise, even if advised of the possibility of such damages.",Limitation of Liability
Vendor shall defend and indemnify Buyer against any claims for personal injury or property damage caused by defective Products supplied hereunder.,Indemnification
"Clause 2.6: This Force Majeure section shall not apply to, and shall not excuse, any payment obligations of either party under this Agreement.",Force Majeure
The prevailing party in any legal action or arbitration arising hereunder shall be entitled to recover its reasonable attorney's fees and litigation costs.,Dispute Resolution
Clause 21.4: The assigning party must provide written notice of any assignment to the other party within 10 days of the consummation of the transaction.,Assignment
"In accordance with Section 20.3, This Agreement may be terminated immediately by either party if the other party breaches any material term and fails to cure such breach within 45 days of receipt of written notice.",Termination
Between Vector Industries and Nova Tech: Clause 23.6: The Receiving Party shall maintain all Confidential Information in strict confidence and shall not disclose it to any third party without Disclosing Party's prior written consent.,Confidentiality
"In the event of a permitted assignment, the assigning party shall remain liable for all obligations arising prior to the effective date of the assignment.",Assignment
"Under Section 4.4, it is agreed that: The limitations of liability set forth herein shall apply to the maximum extent permitted by applicable law.",Limitation of Liability
Between Delta Systems and Zephyr Robotics: Clause 16.9: The United Nations Convention on Contracts for the International Sale of Goods does not apply to this Agreement.,Governing Law
"Between Apex FinTech and Genesis Holdings: Under Section 21.2, it is agreed that: Any attempted assignment, delegation, or transfer in violation of this Section shall be null and void ab initio.",Assignment
"Under Section 2.1, it is agreed that: The parties consent to personal jurisdiction in the state and federal courts located in Houston, Washington for the enforcement of any arbitration award.",Dispute Resolution
"Between Alpha Solutions and TalentAcquire: In accordance with Section 9.3, In the event of a Force Majeure, the parties shall cooperate in good faith to identify alternative means of performing their obligations.",Force Majeure
Between Infinity Group and SilverLine Transit: Section 18.7. The Receiving Party shall maintain all Confidential Information in strict confidence and shall not disclose it to any third party without Disclosing Party's prior written consent.,Confidentiality
Section 6.7. The indemnified party shall have the right to participate in the defense of any claim with counsel of its own choosing at its own expense.,Indemnification
"In accordance with Section 8.8, The obligations of confidentiality hereunder shall survive for a period of 5 years following the termination or expiration of this Agreement.",Confidentiality
Between LogiChain Software and Summit Ventures: Section 7.3. No assignment shall relieve the assigning party of its obligations hereunder unless explicitly agreed in writing by the other party.,Assignment
Between EcoPack Supplies and Beta Corp: Section 24.6. Consent to an assignment in one instance shall not constitute consent to any subsequent assignment or transfer.,Assignment
"Between Aegis Cyber and Beta Corp: Clause 6.5: Except as explicitly set forth herein, neither party grants the other party any license, express or implied, to its intellectual property or proprietary technology.",Intellectual Property
Between Global Freight and CloudScale Consulting: Section 24.6. Customer shall pay all undisputed invoices within 7 days of the date of invoice receipt.,Payment Terms
Clause 1.2: The indemnifying party's obligations are conditioned upon the indemnified party giving prompt written notice of the claim and cooperation in the defense thereof.,Indemnification
"In accordance with Section 22.8, The limitations of liability set forth herein shall apply to the maximum extent permitted by applicable law.",Limitation of Liability
Clause 10.8: Each party agrees that any dispute resolution proceedings will be conducted only on an individual basis and not in a class or representative action.,Dispute Resolution
"Between FreshFoods and Omega LLC: Clause 25.8: Nothing in this Agreement shall limit or exclude either party's liability for death, personal injury, or fraud caused by its negligence.",Limitation of Liability
"Under Section 9.3, it is agreed that: The Receiving Party shall maintain all Confidential Information in strict confidence and shall not disclose it to any third party without Disclosing Party's prior written consent.",Confidentiality
This Agreement shall automatically renew for successive 7-month periods unless either party gives notice of non-renewal at least 7 days prior to the end of the term.,Termination
"Between Omega LLC and Infinity Group: Under Section 21.2, it is agreed that: The affected party shall promptly notify the other party of the occurrence of the Force Majeure event and use reasonable efforts to mitigate its effects.",Force Majeure
"Between TalentAcquire and LogiChain Software: Clause 22.6: Nothing in this Agreement shall limit or exclude either party's liability for death, personal injury, or fraud caused by its negligence.",Limitation of Liability
"Between Aurora Pharma and Vector Industries: Section 12.7. Each Partner shall indemnify the Partnership for any losses resulting from their fraud, gross negligence, or willful misconduct.",Indemnification
Clause 12.6: No settlement of an indemnified claim that imposes any liability or obligation on the indemnified party shall be entered into without its prior written consent.,Indemnification
"Clause 4.6: All deliverables, software, designs, and reports developed under this Statement of Work shall be considered works made for hire and shall be the exclusive property of Client.",Intellectual Property
"Section 21.8. During the pendency of any dispute resolution process, both parties shall continue to perform their undisputed obligations under this Agreement.",Dispute Resolution
Between Zephyr Robotics and LogiChain Software: Clause 1.3: Customer shall pay all undisputed invoices within 7 days of the date of invoice receipt.,Payment Terms
"Between Stellar Creative and Beta Corp: Under Section 7.1, it is agreed that: Late payments shall bear interest at the rate of 60% per month or the maximum rate permitted by law, whichever is lower.",Payment Terms
"In accordance with Section 14.4, IN NO EVENT SHALL PROVIDER'S TOTAL LIABILITY FOR ALL CLAIMS OF ANY KIND EXCEED THE SUM OF $5,000.",Limitation of Liability
"Between HRFlow AI and Vanguard Gaming: In accordance with Section 17.5, The parties consent to personal jurisdiction in the state and federal courts located in Boston, Texas for the enforcement of any arbitration award.",Dispute Resolution
Between TalentAcquire and HeavyGear Machinery: Section 18.4. The prevailing party in any legal action or arbitration arising hereunder shall be entitled to recover its reasonable attorney's fees and litigation costs.,Dispute Resolution
Between LogiChain Software and Vertex E-Commerce: Clause 5.3: Each party waives any objection it may now or hereafter have to the venue of any action brought in the courts of New York based on forum non conveniens.,Governing Law
The Receiving Party shall restrict access to Confidential Information to employees and contractors who have a need to know and are bound by written confidentiality obligations.,Confidentiality
Between Zephyr Robotics and Alpha Solutions: Section 8.4. Confidential Information shall not include information that is or becomes publicly available through no breach of this Agreement by the Receiving Party.,Confidentiality
The subscription fees for renewal terms shall be subject to an annual increase not to exceed 10% over the preceding term's fees.,Payment Terms
This Agreement shall automatically renew for successive 60-month periods unless either party gives notice of non-renewal at least 60 days prior to the end of the term.,Termination
"During the pendency of any dispute resolution process, both parties shall continue to perform their undisputed obligations under this Agreement.",Dispute Resolution
"Under Section 15.9, it is agreed that: Termination of this Agreement shall not affect any accrued rights to payment or other liabilities incurred prior to the date of termination.",Termination
Between EcoPack Supplies and Vertex E-Commerce: Section 4.3. No settlement of an indemnified claim that imposes any liability or obligation on the indemnified party shall be entered into without its prior written consent.,Indemnification
"Section 23.3. Any attempted assignment, delegation, or transfer in violation of this Section shall be null and void ab initio.",Assignment
Section 11.8. Confidential Information shall not include information that is or becomes publicly available through no breach of this Agreement by the Receiving Party.,Confidentiality
"Clause 23.1: If the Force Majeure event continues for a period exceeding 45 consecutive days, either party may terminate the affected Statement of Work without penalty.",Force Majeure
"Between EcoPack Supplies and Obsidian BioTech: Under Section 6.8, it is agreed that: A transfer of a controlling interest in a party (excluding public stock trades) shall be deemed an assignment requiring prior written consent.",Assignment
Clause 22.8: Termination of this Agreement shall not affect any accrued rights to payment or other liabilities incurred prior to the date of termination.,Termination
"In accordance with Section 19.4, All fees and payments under this Agreement shall be made in US Dollars via wire transfer, ACH, or credit card.",Payment Terms
"Section 14.2. Upon termination of this Agreement, the Receiving Party shall return or destroy all copies of the Disclosing Party's Confidential Information within 3 business days.",Confidentiality
