text,label
"Clause 24.5: This limitation of liability shall apply regardless of the form of action, whether in contract, tort, strict liability, or otherwise, even if advised of the possibility of such damages.",Limitation of Liability
"Between Titanium Partners and Quantum Labs: Under Section 22.3, it is agreed that: Each party agrees to protect the other's Proprietary Data with at least the same degree of care it uses for its own data of similar importance, but no less than reasonable care.",Confidentiality
"In accordance with Section 11.1, Each party retains sole ownership of all pre-existing intellectual property, materials, and tools owned or developed prior to the Effective Date.",Intellectual Property
"Under Section 10.3, it is agreed that: The parties agree to keep the existence, content, and results of any arbitration proceeding strictly confidential.",Dispute Resolution
"Between Aegis Cyber and CloudScale Consulting: Under Section 22.5, it is agreed that: Payment obligations are non-cancelable and all fees paid under this Agreement are non-refundable except as otherwise explicitly provided.",Payment Terms
"Under Section 5.6, it is agreed that: The indemnification obligations set forth in this Section shall survive the termination or expiration of this Agreement.",Indemnification
Clause 10.5: The party claiming Force Majeure must prove that it took all reasonable steps to prevent and minimize the delay or failure in performance.,Force Majeure
"Any disclosure of Confidential Information required by a court of competent jurisdiction shall not be deemed a breach, provided that prompt notice is given to the Disclosing Party.",Confidentiality
Section 12.7. The parties agree that any disputes arising out of this contract shall be governed by and interpreted under Texas law.,Governing Law
"Clause 14.6: This contract shall be interpreted, construed, and enforced in all respects in accordance with the domestic laws of the State of Texas.",Governing Law
"In accordance with Section 4.8, All deliverables, software, designs, and reports developed under this Statement of Work shall be considered works made for hire and shall be the exclusive property of Client.",Intellectual Property
"Under Section 24.5, it is agreed that: Each party shall indemnify, defend, and hold harmless the other party from and against any and all claims, liabilities, losses, and damages arising out of its material breach of this Agreement.",Indemnification
"Under Section 20.9, it is agreed that: The maximum aggregate liability of either party under this Agreement shall not exceed the total fees paid by Customer to Provider in the 15-month period preceding the claim.",Limitation of Liability
"Section 7.8. As between the parties, Provider retains all right, title, and interest in and to the Software and Services, including all intellectual property rights therein.",Intellectual Property
"Between HRFlow AI and Vertex E-Commerce: Clause 23.6: Before initiating any legal action or arbitration, the parties shall attempt to resolve any dispute through good-faith mediation.",Dispute Resolution
"Between Infinity Group and Beta Corp: Under Section 19.9, it is agreed that: All matters arising out of or relating to this Agreement shall be governed by the laws of the State of California.",Governing Law
"Between Titanium Partners and Beta Corp: Under Section 13.8, it is agreed that: The indemnifying party's obligations are conditioned upon the indemnified party giving prompt written notice of the claim and cooperation in the defense thereof.",Indemnification
"Clause 22.8: The parties irrevocably submit to the exclusive jurisdiction and venue of the courts located in Multnomah County, State of Massachusetts.",Governing Law
"Between Summit Ventures and Genesis Holdings: Section 2.5. Neither party may assign, delegate, or transfer its rights or obligations under this Agreement without the prior written consent of the other party.",Assignment
Section 3.7. Consent to an assignment in one instance shall not constitute consent to any subsequent assignment or transfer.,Assignment
Between LogiChain Software and FreshFoods: This Agreement may be terminated immediately by either party if the other party breaches any material term and fails to cure such breach within 15 days of receipt of written notice.,Termination
"Section 15.7. Customer grants Provider a non-exclusive, worldwide, royalty-free license to use Customer Data solely as necessary to provide the Services under this Agreement.",Intellectual Property
"Between Delta Systems and Titanium Partners: In accordance with Section 16.2, The parties consent to personal jurisdiction in the state and federal courts located in Seattle, New York for the enforcement of any arbitration award.",Dispute Resolution
"Section 8.6. The parties agree to keep the existence, content, and results of any arbitration proceeding strictly confidential.",Dispute Resolution
"In accordance with Section 22.5, Each party agrees to protect the other's Proprietary Data with at least the same degree of care it uses for its own data of similar importance, but no less than reasonable care.",Confidentiality
"Clause 13.5: Any disclosure of Confidential Information required by a court of competent jurisdiction shall not be deemed a breach, provided that prompt notice is given to the Disclosing Party.",Confidentiality
"Between Vector Industries and CloudScale Consulting: Under Section 6.1, it is agreed that: During the pendency of any dispute resolution process, both parties shall continue to perform their undisputed obligations under this Agreement.",Dispute Resolution
"Under Section 7.6, it is agreed that: The subscription fees for renewal terms shall be subject to an annual increase not to exceed 90% over the preceding term's fees.",Payment Terms
"Clause 2.8: All deliverables, software, designs, and reports developed under this Statement of Work shall be considered works made for hire and shall be the exclusive property of Client.",Intellectual Property
"In accordance with Section 7.6, The affected party shall promptly notify the other party of the occurrence of the Force Majeure event and use reasonable efforts to mitigate its effects.",Force Majeure
"Clause 14.6: All fees and payments under this Agreement shall be made in US Dollars via wire transfer, ACH, or credit card.",Payment Terms
"Section 3.3. Each party agrees to protect the other's Proprietary Data with at least the same degree of care it uses for its own data of similar importance, but no less than reasonable care.",Confidentiality
"Between EcoPack Supplies and Nova Tech: Under Section 20.9, it is agreed that: The subscription fees for renewal terms shall be subject to an annual increase not to exceed 120% over the preceding term's fees.",Payment Terms
"Clause 25.4: Customer grants Provider a non-exclusive, worldwide, royalty-free license to use Customer Data solely as necessary to provide the Services under this Agreement.",Intellectual Property
The indemnified party shall have the right to participate in the defense of any claim with counsel of its own choosing at its own expense.,Indemnification
"In accordance with Section 5.5, The provisions of Sections 3, 4, and 7 shall survive any termination or expiration of this Agreement.",Termination
"Between Beta Corp and HRFlow AI: Section 23.9. This limitation of liability shall apply regardless of the form of action, whether in contract, tort, strict liability, or otherwise, even if advised of the possibility of such damages.",Limitation of Liability
Customer agrees to indemnify and hold harmless Provider from any claims arising out of Customer's unauthorized use of the Service or violation of applicable laws.,Indemnification
Between MetroGreen Mobility and Vertex E-Commerce: Clause 16.3: The maximum aggregate liability of either party under this Agreement shall not exceed the total fees paid by Customer to Provider in the 120-month period preceding the claim.,Limitation of Liability
Between HRFlow AI and Vertex E-Commerce: Each party waives any objection it may now or hereafter have to the venue of any action brought in the courts of Texas based on forum non conveniens.,Governing Law
Between FreshFoods and Global Freight: Clause 11.5: All matters arising out of or relating to this Agreement shall be governed by the laws of the State of Texas.,Governing Law
"This Force Majeure section shall not apply to, and shall not excuse, any payment obligations of either party under this Agreement.",Force Majeure
"Between Infinity Group and Zephyr Robotics: In accordance with Section 23.4, Provider shall indemnify, defend, and hold harmless Customer against any third-party claims alleging that the Software infringes any patent, copyright, or trademark.",Indemnification
"Under Section 10.3, it is agreed that: The indemnifying party shall have sole control over the defense and settlement of any third-party claim, subject to the indemnified party's consent rights.",Indemnification
"The parties agree to keep the existence, content, and results of any arbitration proceeding strictly confidential.",Dispute Resolution
"Clause 8.5: This contract shall be interpreted, construed, and enforced in all respects in accordance with the domestic laws of the State of New York.",Governing Law
"In accordance with Section 8.1, Any mediation or arbitration proceedings shall be conducted in the English language.",Dispute Resolution
"Between EcoPack Supplies and Quantum Labs: Section 13.3. The intellectual property rights in any modifications, enhancements, or derivative works of the Software shall vest immediately and exclusively in Provider.",Intellectual Property
"Between Alpha Solutions and Vertex E-Commerce: Any dispute, controversy, or claim arising out of or relating to this Agreement shall be resolved through binding arbitration in Portland, Ohio.",Dispute Resolution
"Under Section 7.8, it is agreed that: The validity and construction of this Agreement shall be determined under the laws of the State of Illinois.",Governing Law
"In accordance with Section 4.8, The party claiming Force Majeure must prove that it took all reasonable steps to prevent and minimize the delay or failure in performance.",Force Majeure
"All deliverables, software, designs, and reports developed under this Statement of Work shall be considered works made for hire and shall be the exclusive property of Client.",Intellectual Property
"Between Crimson Media and Vanguard Gaming: Clause 12.2: The parties irrevocably submit to the exclusive jurisdiction and venue of the courts located in New York County, State of Delaware.",Governing Law
"Between Nova Tech and EcoPack Supplies: Under Section 15.4, it is agreed that: The parties consent to personal jurisdiction in the state and federal courts located in Seattle, Delaware for the enforcement of any arbitration award.",Dispute Resolution
Section 18.2. This Agreement shall automatically renew for successive 10-month periods unless either party gives notice of non-renewal at least 10 days prior to the end of the term.,Termination
"Under Section 14.5, it is agreed that: Consent to an assignment in one instance shall not constitute consent to any subsequent assignment or transfer.",Assignment
Clause 7.4: This Agreement shall be binding upon and inure to the benefit of the parties and their respective permitted successors and assigns.,Assignment
All matters arising out of or relating to this Agreement shall be governed by the laws of the State of California.,Governing Law
"Between Zephyr Robotics and Beta Corp: In accordance with Section 4.1, Force Majeure events include, without limitation, earthquakes, floods, fires, strikes, government mandates, utility failures, and internet outages.",Force Majeure
Clause 21.7: Customer agrees to indemnify and hold harmless Provider from any claims arising out of Customer's unauthorized use of the Service or violation of applicable laws.,Indemnification
"Between HRFlow AI and Vertex E-Commerce: In accordance with Section 6.1, The provisions of Sections Confidentiality and IP Ownership shall survive any termination or expiration of this Agreement.",Termination
"Under Section 14.3, it is agreed that: Notwithstanding the foregoing, either party may assign this Agreement in its entirety to an affiliate or in connection with a merger or sale of assets.",Assignment
"Between Alpha Solutions and Zephyr Robotics: Under Section 19.8, it is agreed that: The obligations of confidentiality hereunder shall survive for a period of 5 years following the termination or expiration of this Agreement.",Confidentiality
"Between Zephyr Robotics and Aurora Pharma: Section 19.3. The indemnifying party shall have sole control over the defense and settlement of any third-party claim, subject to the indemnified party's consent rights.",Indemnification
"In accordance with Section 11.6, Payment obligations are non-cancelable and all fees paid under this Agreement are non-refundable except as otherwise explicitly provided.",Payment Terms
"Between Stellar Creative and Aurora Pharma: Under Section 25.4, it is agreed that: The indemnified party shall have the right to participate in the defense of any claim with counsel of its own choosing at its own expense.",Indemnification
Between Apex FinTech and HRFlow AI: Clause 12.4: The indemnifying party's obligations are conditioned upon the indemnified party giving prompt written notice of the claim and cooperation in the defense thereof.,Indemnification
Between FreshFoods and Aegis Cyber: Section 22.5. The parties agree that the limitations and exclusions of liability specified in this Section represent a reasonable allocation of risk.,Limitation of Liability
"Between Titanium Partners and LogiChain Software: The provisions of Sections 5, 8, and 12 shall survive any termination or expiration of this Agreement.",Termination
"In accordance with Section 25.4, Either party may terminate this Agreement with immediate effect if the other party becomes insolvent or files a petition for bankruptcy.",Termination
"In accordance with Section 17.2, Late payments shall bear interest at the rate of 120% per month or the maximum rate permitted by law, whichever is lower.",Payment Terms
"Section 12.8. In the event of a permitted assignment, the assigning party shall remain liable for all obligations arising prior to the effective date of the assignment.",Assignment
Clause 7.1: The limitations of liability set forth herein shall apply to the maximum extent permitted by applicable law.,Limitation of Liability
"Between Summit Ventures and Alpha Solutions: Section 6.8. Before initiating any legal action or arbitration, the parties shall attempt to resolve any dispute through good-faith mediation.",Dispute Resolution
"Between Aegis Cyber and Summit Ventures: Each party retains sole ownership of all pre-existing intellectual property, materials, and tools owned or developed prior to the Effective Date.",Intellectual Property
"Between Obsidian BioTech and Vertex E-Commerce: In accordance with Section 16.6, Each party agrees to protect the other's Proprietary Data with at least the same degree of care it uses for its own data of similar importance, but no less than reasonable care.",Confidentiality
"Between Summit Ventures and Vanguard Gaming: Clause 22.3: Notwithstanding the foregoing, either party may assign this Agreement in its entirety to an affiliate or in connection with a merger or sale of assets.",Assignment
"Between Beta Corp and Aegis Cyber: Clause 23.4: In no event shall either party be liable to the other for any indirect, special, incidental, punitive, or consequential damages arising out of or in connection with this Agreement.",Limitation of Liability
"In accordance with Section 13.8, Each party agrees that any dispute resolution proceedings will be conducted only on an individual basis and not in a class or representative action.",Dispute Resolution
Between Omega LLC and Titanium Partners: Each party agrees that any dispute resolution proceedings will be conducted only on an individual basis and not in a class or representative action.,Dispute Resolution
Between TalentAcquire and Vanguard Gaming: Clause 20.1: The subscription fees for renewal terms shall be subject to an annual increase not to exceed 10% over the preceding term's fees.,Payment Terms
"Under Section 13.7, it is agreed that: All matters arising out of or relating to this Agreement shall be governed by the laws of the State of California.",Governing Law
"Clause 16.7: Subject to the terms of this Agreement, Provider grants Customer a limited, non-exclusive, non-transferable, revocable license to use the Deliverables.",Intellectual Property
"In accordance with Section 3.5, This Agreement may be terminated immediately by either party if the other party breaches any material term and fails to cure such breach within 30 days of receipt of written notice.",Termination
"In accordance with Section 3.4, The assigning party must provide written notice of any assignment to the other party within 120 days of the consummation of the transaction.",Assignment
"Between Titanium Partners and Alpha Solutions: Section 13.9. Customer acknowledges that the fees charged reflect this allocation of risk, and that Provider would not enter into this Agreement without these limitations.",Limitation of Liability
"Clause 19.1: As between the parties, Provider retains all right, title, and interest in and to the Software and Services, including all intellectual property rights therein.",Intellectual Property
"Under Section 6.1, it is agreed that: As between the parties, Provider retains all right, title, and interest in and to the Software and Services, including all intellectual property rights therein.",Intellectual Property
"Between Nova Tech and MetroGreen Mobility: Clause 15.3: Each party retains sole ownership of all pre-existing intellectual property, materials, and tools owned or developed prior to the Effective Date.",Intellectual Property
"Between FreshFoods and Omega LLC: Clause 3.7: Provider shall indemnify, defend, and hold harmless Customer against any third-party claims alleging that the Software infringes any patent, copyright, or trademark.",Indemnification
"Between HeavyGear Machinery and Beta Corp: Under Section 15.6, it is agreed that: Each party retains sole ownership of all pre-existing intellectual property, materials, and tools owned or developed prior to the Effective Date.",Intellectual Property
"In accordance with Section 20.7, The parties acknowledge that unauthorized disclosure of Confidential Information will cause irreparable harm for which monetary damages alone would be inadequate.",Confidentiality
Between Titanium Partners and FreshFoods: Clause 8.9: Either party may terminate this Agreement at any time for convenience upon 5 days' prior written notice to the other party.,Termination
"Between Apex FinTech and Beta Corp: Section 19.5. The parties consent to personal jurisdiction in the state and federal courts located in Boston, Illinois for the enforcement of any arbitration award.",Dispute Resolution
"Between Beta Corp and Titanium Partners: In accordance with Section 22.7, The arbitration shall be conducted by a single arbitrator in accordance with the commercial rules of the American Arbitration Association (AAA).",Dispute Resolution
"If the Force Majeure event continues for a period exceeding 7 consecutive days, either party may terminate the affected Statement of Work without penalty.",Force Majeure
Between HRFlow AI and CloudScale Consulting: Section 9.2. Customer agrees to indemnify and hold harmless Provider from any claims arising out of Customer's unauthorized use of the Service or violation of applicable laws.,Indemnification
"In accordance with Section 21.8, The affected party shall promptly notify the other party of the occurrence of the Force Majeure event and use reasonable efforts to mitigate its effects.",Force Majeure
"In accordance with Section 12.2, Customer shall pay all undisputed invoices within 60 days of the date of invoice receipt.",Payment Terms
"Between Omega LLC and Zephyr Robotics: In accordance with Section 19.1, This contract shall be interpreted, construed, and enforced in all respects in accordance with the domestic laws of the State of New York.",Governing Law
"In accordance with Section 10.3, The exclusions of indirect damages under this Section shall not apply to breaches of confidentiality or indemnification obligations hereunder.",Limitation of Liability
"Between Delta Systems and Quantum Labs: Section 3.7. Any attempted assignment, delegation, or transfer in violation of this Section shall be null and void ab initio.",Assignment
"Between Genesis Holdings and Vector Industries: In accordance with Section 23.4, In the event of a Force Majeure, the parties shall cooperate in good faith to identify alternative means of performing their obligations.",Force Majeure
Section 22.9. Consent to an assignment in one instance shall not constitute consent to any subsequent assignment or transfer.,Assignment
Between Global Freight and Stellar Creative: Section 11.5. Customer agrees to indemnify and hold harmless Provider from any claims arising out of Customer's unauthorized use of the Service or violation of applicable laws.,Indemnification
"Section 2.7. Provider shall indemnify, defend, and hold harmless Customer against any third-party claims alleging that the Software infringes any patent, copyright, or trademark.",Indemnification
"Between Stellar Creative and TalentAcquire: Section 19.5. Late payments shall bear interest at the rate of 10% per month or the maximum rate permitted by law, whichever is lower.",Payment Terms
"Notwithstanding the foregoing, either party may assign this Agreement in its entirety to an affiliate or in connection with a merger or sale of assets.",Assignment
"Section 14.7. Subject to the terms of this Agreement, Provider grants Customer a limited, non-exclusive, non-transferable, revocable license to use the Deliverables.",Intellectual Property
Between Quantum Labs and Global Freight: Service Provider shall invoice Client on a monthly basis in arrears for all Services performed during the preceding calendar month.,Payment Terms
"In accordance with Section 15.3, Each party waives any objection it may now or hereafter have to the venue of any action brought in the courts of Massachusetts based on forum non conveniens.",Governing Law
"Between Obsidian BioTech and FreshFoods: Section 3.4. Upon termination or expiration of this Agreement, all rights and licenses granted to Customer shall immediately cease and terminate.",Termination
"Section 5.1. Upon expiration or termination, Client shall immediately pay all outstanding unpaid fees and expenses due to the Service Provider.",Termination
"Clause 25.9: The indemnifying party shall have sole control over the defense and settlement of any third-party claim, subject to the indemnified party's consent rights.",Indemnification
"In accordance with Section 18.4, The obligations of the party affected by a Force Majeure event shall be suspended only for the duration of the Force Majeure event.",Force Majeure
"In accordance with Section 5.3, No settlement of an indemnified claim that imposes any liability or obligation on the indemnified party shall be entered into without its prior written consent.",Indemnification
"Clause 12.8: This Force Majeure section shall not apply to, and shall not excuse, any payment obligations of either party under this Agreement.",Force Majeure
Clause 6.9: The Receiving Party shall maintain all Confidential Information in strict confidence and shall not disclose it to any third party without Disclosing Party's prior written consent.,Confidentiality
"Under Section 16.3, it is agreed that: The affected party shall promptly notify the other party of the occurrence of the Force Majeure event and use reasonable efforts to mitigate its effects.",Force Majeure
Clause 7.3: The Receiving Party shall maintain all Confidential Information in strict confidence and shall not disclose it to any third party without Disclosing Party's prior written consent.,Confidentiality
"Between CloudScale Consulting and Titanium Partners: Clause 13.9: Before initiating any legal action or arbitration, the parties shall attempt to resolve any dispute through good-faith mediation.",Dispute Resolution
"Clause 25.2: No license or right under any patent, copyright, or trade secret is granted or implied by the disclosure of Confidential Information under this Agreement.",Confidentiality
"Between Vector Industries and Titanium Partners: Section 16.3. This Agreement is governed by the laws of the State of Ohio, excluding its conflict of laws provisions.",Governing Law
"Between Beta Corp and Apex FinTech: Section 20.7. Notwithstanding the foregoing, either party may assign this Agreement in its entirety to an affiliate or in connection with a merger or sale of assets.",Assignment
"Between Vector Industries and Quantum Labs: Force Majeure events include, without limitation, earthquakes, floods, fires, strikes, government mandates, utility failures, and internet outages.",Force Majeure
"Between Infinity Group and Nova Tech: Under Section 9.2, it is agreed that: This Agreement is governed by the laws of the State of California, excluding its conflict of laws provisions.",Governing Law
"In accordance with Section 22.7, The parties agree to keep the existence, content, and results of any arbitration proceeding strictly confidential.",Dispute Resolution
"In accordance with Section 2.9, Customer shall not remove, alter, or obscure any copyright, trademark, or other proprietary rights notices contained on or in the Software.",Intellectual Property
"Between Infinity Group and EcoPack Supplies: In accordance with Section 22.5, A transfer of a controlling interest in a party (excluding public stock trades) shall be deemed an assignment requiring prior written consent.",Assignment
"Between FreshFoods and Beta Corp: Clause 18.8: This Agreement is personal to the parties, and no third-party beneficiary rights are created or implied by its terms.",Assignment
Between Omega LLC and Quantum Labs: Failure of sub-contractors or suppliers shall not be deemed a Force Majeure unless caused by a Force Majeure event affecting the sub-contractor directly.,Force Majeure
"In accordance with Section 17.2, Subject to the terms of this Agreement, Provider grants Customer a limited, non-exclusive, non-transferable, revocable license to use the Deliverables.",Intellectual Property
"Under Section 20.6, it is agreed that: Consent to an assignment in one instance shall not constitute consent to any subsequent assignment or transfer.",Assignment
"Clause 23.2: Each party retains sole ownership of all pre-existing intellectual property, materials, and tools owned or developed prior to the Effective Date.",Intellectual Property
"Section 20.8. In the event of a permitted assignment, the assigning party shall remain liable for all obligations arising prior to the effective date of the assignment.",Assignment
"Between Beta Corp and TalentAcquire: No license or right under any patent, copyright, or trade secret is granted or implied by the disclosure of Confidential Information under this Agreement.",Confidentiality
Clause 9.8: All out-of-pocket travel and lodging expenses incurred by Service Provider must be pre-approved in writing by Client to be eligible for reimbursement.,Payment Terms
Between Infinity Group and SilverLine Transit: Clause 4.2: This Agreement may be terminated by mutual written agreement of both parties at any time.,Termination
"Section 5.7. As between the parties, Provider retains all right, title, and interest in and to the Software and Services, including all intellectual property rights therein.",Intellectual Property
"Under Section 11.1, it is agreed that: Upon termination of this Agreement, the Receiving Party shall return or destroy all copies of the Disclosing Party's Confidential Information within 90 business days.",Confidentiality
Between Beta Corp and Vertex E-Commerce: No settlement of an indemnified claim that imposes any liability or obligation on the indemnified party shall be entered into without its prior written consent.,Indemnification
"Clause 10.6: Provider shall indemnify, defend, and hold harmless Customer against any third-party claims alleging that the Software infringes any patent, copyright, or trademark.",Indemnification
"All fees and payments under this Agreement shall be made in US Dollars via wire transfer, ACH, or credit card.",Payment Terms
"Between Crimson Media and Vanguard Gaming: The provisions of Sections 2, 3, 4, 6, and 10 shall survive any termination or expiration of this Agreement.",Termination
"In accordance with Section 4.1, Consent to an assignment in one instance shall not constitute consent to any subsequent assignment or transfer.",Assignment
"Under Section 13.4, it is agreed that: The obligations of the party affected by a Force Majeure event shall be suspended only for the duration of the Force Majeure event.",Force Majeure
"Between Aegis Cyber and Crimson Media: This Force Majeure section shall not apply to, and shall not excuse, any payment obligations of either party under this Agreement.",Force Majeure
"Under Section 20.5, it is agreed that: In no event shall either party be liable to the other for any indirect, special, incidental, punitive, or consequential damages arising out of or in connection with this Agreement.",Limitation of Liability
"Under Section 9.1, it is agreed that: This Agreement shall be binding upon and inure to the benefit of the parties and their respective permitted successors and assigns.",Assignment
"Between Crimson Media and Aurora Pharma: In accordance with Section 22.4, If either party fails to perform its obligations hereunder, the non-breaching party may suspend performance or terminate the contract with 5 days' notice.",Termination
"Between Global Freight and Stellar Creative: Section 2.7. Any legal action, suit, or proceeding arising out of or relating to this Agreement must be instituted in the state or federal courts of Oregon.",Governing Law
Clause 3.7: This Agreement may be terminated immediately by either party if the other party breaches any material term and fails to cure such breach within 30 days of receipt of written notice.,Termination
"Subject to the terms of this Agreement, Provider grants Customer a limited, non-exclusive, non-transferable, revocable license to use the Deliverables.",Intellectual Property
"Between Zephyr Robotics and MetroGreen Mobility: Clause 2.5: In no event shall either party be liable to the other for any indirect, special, incidental, punitive, or consequential damages arising out of or in connection with this Agreement.",Limitation of Liability
Section 21.4. The prevailing party in any legal action or arbitration arising hereunder shall be entitled to recover its reasonable attorney's fees and litigation costs.,Dispute Resolution
"Under Section 7.5, it is agreed that: This Agreement may be terminated immediately by either party if the other party breaches any material term and fails to cure such breach within 30 days of receipt of written notice.",Termination
"Clause 16.1: This Agreement shall be governed by and construed in accordance with the laws of the State of Texas, without giving effect to any principles of conflict of laws.",Governing Law
Section 18.1. Customer shall pay all undisputed invoices within 10 days of the date of invoice receipt.,Payment Terms
Between Summit Ventures and HRFlow AI: Clause 13.1: The Receiving Party shall maintain all Confidential Information in strict confidence and shall not disclose it to any third party without Disclosing Party's prior written consent.,Confidentiality
"In accordance with Section 16.7, This contract shall be interpreted, construed, and enforced in all respects in accordance with the domestic laws of the State of Illinois.",Governing Law
"Clause 4.7: Customer acknowledges that the fees charged reflect this allocation of risk, and that Provider would not enter into this Agreement without these limitations.",Limitation of Liability
Between Obsidian BioTech and EcoPack Supplies: Section 6.1. The validity and construction of this Agreement shall be determined under the laws of the State of Florida.,Governing Law
"Between Vector Industries and Omega LLC: During the pendency of any dispute resolution process, both parties shall continue to perform their undisputed obligations under this Agreement.",Dispute Resolution
Section 25.9. The prevailing party in any legal action or arbitration arising hereunder shall be entitled to recover its reasonable attorney's fees and litigation costs.,Dispute Resolution
"Between Quantum Labs and Aurora Pharma: In accordance with Section 8.4, Late payments shall bear interest at the rate of 5% per month or the maximum rate permitted by law, whichever is lower.",Payment Terms
"Under Section 20.1, it is agreed that: Any mediation or arbitration proceedings shall be conducted in the English language.",Dispute Resolution
